gtf_gene	gtf_gene_trimmed	crovir_transcript	converted_id	converted_id_no_dups
maker-scaffold-Z-augustus-gene-1.6_crovir-transcript-1697	maker-scaffold-Z-augustus-gene-1.6	crovir-transcript-1697	PTH1R	PTH1R
maker-scaffold-Z-augustus-gene-1.4_crovir-transcript-1695	maker-scaffold-Z-augustus-gene-1.4	crovir-transcript-1695	NAT8	NAT8
augustus_masked-scaffold-Z-processed-gene-1.3_crovir-transcript-1698	augustus_masked-scaffold-Z-processed-gene-1.3	crovir-transcript-1698	TMIE	TMIE
maker-scaffold-Z-augustus-gene-1.5_crovir-transcript-1696	maker-scaffold-Z-augustus-gene-1.5	crovir-transcript-1696	ALS2CL	ALS2CL
maker-scaffold-Z-augustus-gene-2.12_crovir-transcript-1701	maker-scaffold-Z-augustus-gene-2.12	crovir-transcript-1701	maker-scaffold-Z-augustus-gene-2.12_crovir-transcript-1701	maker-scaffold-Z-augustus-gene-2.12_crovir-transcript-1701
augustus_masked-scaffold-Z-processed-gene-2.0_crovir-transcript-1700	augustus_masked-scaffold-Z-processed-gene-2.0	crovir-transcript-1700	HTR2B	HTR2B
maker-scaffold-Z-augustus-gene-2.13_crovir-transcript-1704	maker-scaffold-Z-augustus-gene-2.13	crovir-transcript-1704	JMJD4	JMJD4
augustus_masked-scaffold-Z-processed-gene-2.9_crovir-transcript-1703	augustus_masked-scaffold-Z-processed-gene-2.9	crovir-transcript-1703	JMJD4	JMJD4.1
maker-scaffold-Z-augustus-gene-2.11_crovir-transcript-1699	maker-scaffold-Z-augustus-gene-2.11	crovir-transcript-1699	SNAP47	SNAP47
maker-scaffold-Z-augustus-gene-2.15_crovir-transcript-1702	maker-scaffold-Z-augustus-gene-2.15	crovir-transcript-1702	WNT9A	WNT9A
maker-scaffold-Z-augustus-gene-3.9_crovir-transcript-1705	maker-scaffold-Z-augustus-gene-3.9	crovir-transcript-1705	WNT3	WNT3
augustus_masked-scaffold-Z-processed-gene-3.7_crovir-transcript-1708	augustus_masked-scaffold-Z-processed-gene-3.7	crovir-transcript-1708	VPS72	VPS72
maker-scaffold-Z-augustus-gene-3.11_crovir-transcript-1709	maker-scaffold-Z-augustus-gene-3.11	crovir-transcript-1709	C1orf35	C1orf35
augustus_masked-scaffold-Z-processed-gene-3.4_crovir-transcript-1707	augustus_masked-scaffold-Z-processed-gene-3.4	crovir-transcript-1707	GJC2	GJC2
maker-scaffold-Z-augustus-gene-3.10_crovir-transcript-1706	maker-scaffold-Z-augustus-gene-3.10	crovir-transcript-1706	IBA57	IBA57
maker-scaffold-Z-augustus-gene-4.4_crovir-transcript-1710	maker-scaffold-Z-augustus-gene-4.4	crovir-transcript-1710	maker-scaffold-Z-augustus-gene-4.4_crovir-transcript-1710	maker-scaffold-Z-augustus-gene-4.4_crovir-transcript-1710
trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-3.0	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-3.0	NA	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-3.0	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-3.0
maker-scaffold-Z-augustus-gene-4.5_crovir-transcript-1712	maker-scaffold-Z-augustus-gene-4.5	crovir-transcript-1712	XP_016857932	XP_016857932
maker-scaffold-Z-augustus-gene-4.6_crovir-transcript-1715	maker-scaffold-Z-augustus-gene-4.6	crovir-transcript-1715	XP_016857932	XP_016857932.1
maker-scaffold-Z-augustus-gene-4.7_crovir-transcript-1713	maker-scaffold-Z-augustus-gene-4.7	crovir-transcript-1713	XP_016857932	XP_016857932.2
maker-scaffold-Z-augustus-gene-4.9_crovir-transcript-1714	maker-scaffold-Z-augustus-gene-4.9	crovir-transcript-1714	XP_016857932	XP_016857932.3
augustus_masked-scaffold-Z-processed-gene-4.3_crovir-transcript-1716	augustus_masked-scaffold-Z-processed-gene-4.3	crovir-transcript-1716	CYP8B1	CYP8B1
maker-scaffold-Z-augustus-gene-4.10_crovir-transcript-1711	maker-scaffold-Z-augustus-gene-4.10	crovir-transcript-1711	CCDC13	CCDC13
trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-4.0	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-4.0	NA	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-4.0	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-4.0
maker-scaffold-Z-augustus-gene-5.2_crovir-transcript-1717	maker-scaffold-Z-augustus-gene-5.2	crovir-transcript-1717	VIPR1	VIPR1
maker-scaffold-Z-augustus-gene-5.3_crovir-transcript-1718	maker-scaffold-Z-augustus-gene-5.3	crovir-transcript-1718	ADCYAP1R1	ADCYAP1R1
augustus_masked-scaffold-Z-processed-gene-6.0_crovir-transcript-1719	augustus_masked-scaffold-Z-processed-gene-6.0	crovir-transcript-1719	augustus_masked-scaffold-Z-processed-gene-6.0_crovir-transcript-1719	augustus_masked-scaffold-Z-processed-gene-6.0_crovir-transcript-1719
maker-scaffold-Z-augustus-gene-6.5_crovir-transcript-1720	maker-scaffold-Z-augustus-gene-6.5	crovir-transcript-1720	AQP1	AQP1
maker-scaffold-Z-augustus-gene-6.6_crovir-transcript-1721	maker-scaffold-Z-augustus-gene-6.6	crovir-transcript-1721	MINDY4	MINDY4
maker-scaffold-Z-augustus-gene-7.4_crovir-transcript-1722	maker-scaffold-Z-augustus-gene-7.4	crovir-transcript-1722	MAP3K3	MAP3K3
maker-scaffold-Z-augustus-gene-7.5_crovir-transcript-1723	maker-scaffold-Z-augustus-gene-7.5	crovir-transcript-1723	ACAA1	ACAA1
augustus_masked-scaffold-Z-processed-gene-7.3_crovir-transcript-1725	augustus_masked-scaffold-Z-processed-gene-7.3	crovir-transcript-1725	DLEC1	DLEC1
augustus_masked-scaffold-Z-processed-gene-7.2_crovir-transcript-1724	augustus_masked-scaffold-Z-processed-gene-7.2	crovir-transcript-1724	PLCD1	PLCD1
maker-scaffold-Z-augustus-gene-8.5_crovir-transcript-1728	maker-scaffold-Z-augustus-gene-8.5	crovir-transcript-1728	VIL1	VIL1
maker-scaffold-Z-augustus-gene-8.6_crovir-transcript-1729	maker-scaffold-Z-augustus-gene-8.6	crovir-transcript-1729	CTDSPL	CTDSPL
augustus_masked-scaffold-Z-processed-gene-8.2_crovir-transcript-1726	augustus_masked-scaffold-Z-processed-gene-8.2	crovir-transcript-1726	GARS1	GARS1
augustus_masked-scaffold-Z-processed-gene-8.3_crovir-transcript-1727	augustus_masked-scaffold-Z-processed-gene-8.3	crovir-transcript-1727	augustus_masked-scaffold-Z-processed-gene-8.3_crovir-transcript-1727	augustus_masked-scaffold-Z-processed-gene-8.3_crovir-transcript-1727
maker-scaffold-Z-augustus-gene-8.7_crovir-transcript-1730	maker-scaffold-Z-augustus-gene-8.7	crovir-transcript-1730	maker-scaffold-Z-augustus-gene-8.7_crovir-transcript-1730	maker-scaffold-Z-augustus-gene-8.7_crovir-transcript-1730
trnascan-scaffold-Z-noncoding-Pseudo_AAC-gene-8.0	trnascan-scaffold-Z-noncoding-Pseudo_AAC-gene-8.0	NA	trnascan-scaffold-Z-noncoding-Pseudo_AAC-gene-8.0	trnascan-scaffold-Z-noncoding-Pseudo_AAC-gene-8.0
maker-scaffold-Z-augustus-gene-9.5_crovir-transcript-1733	maker-scaffold-Z-augustus-gene-9.5	crovir-transcript-1733	USP19	USP19
augustus_masked-scaffold-Z-processed-gene-9.1_crovir-transcript-1731	augustus_masked-scaffold-Z-processed-gene-9.1	crovir-transcript-1731	MYD88	MYD88
maker-scaffold-Z-augustus-gene-9.6_crovir-transcript-1732	maker-scaffold-Z-augustus-gene-9.6	crovir-transcript-1732	OXSR1	OXSR1
maker-scaffold-Z-augustus-gene-10.5_crovir-transcript-1737	maker-scaffold-Z-augustus-gene-10.5	crovir-transcript-1737	SLC22A14	SLC22A14
maker-scaffold-Z-augustus-gene-10.6_crovir-transcript-1736	maker-scaffold-Z-augustus-gene-10.6	crovir-transcript-1736	SLC22A14	SLC22A14.1
augustus_masked-scaffold-Z-processed-gene-10.1_crovir-transcript-1738	augustus_masked-scaffold-Z-processed-gene-10.1	crovir-transcript-1738	augustus_masked-scaffold-Z-processed-gene-10.1_crovir-transcript-1738	augustus_masked-scaffold-Z-processed-gene-10.1_crovir-transcript-1738
maker-scaffold-Z-augustus-gene-10.8_crovir-transcript-1735	maker-scaffold-Z-augustus-gene-10.8	crovir-transcript-1735	maker-scaffold-Z-augustus-gene-10.8_crovir-transcript-1735	maker-scaffold-Z-augustus-gene-10.8_crovir-transcript-1735
augustus_masked-scaffold-Z-processed-gene-10.3_crovir-transcript-1734	augustus_masked-scaffold-Z-processed-gene-10.3	crovir-transcript-1734	XIRP2	XIRP2
maker-scaffold-Z-augustus-gene-11.7_crovir-transcript-1741	maker-scaffold-Z-augustus-gene-11.7	crovir-transcript-1741	CSRNP3	CSRNP3
augustus_masked-scaffold-Z-processed-gene-11.1_crovir-transcript-1739	augustus_masked-scaffold-Z-processed-gene-11.1	crovir-transcript-1739	CSRNP1	CSRNP1
augustus_masked-scaffold-Z-processed-gene-11.2_crovir-transcript-1743	augustus_masked-scaffold-Z-processed-gene-11.2	crovir-transcript-1743	TTC21B	TTC21B
maker-scaffold-Z-augustus-gene-11.11_crovir-transcript-1742	maker-scaffold-Z-augustus-gene-11.11	crovir-transcript-1742	LRRC20	LRRC20
maker-scaffold-Z-augustus-gene-11.8_crovir-transcript-1740	maker-scaffold-Z-augustus-gene-11.8	crovir-transcript-1740	GORASP1	GORASP1
augustus_masked-scaffold-Z-processed-gene-11.5_crovir-transcript-1744	augustus_masked-scaffold-Z-processed-gene-11.5	crovir-transcript-1744	WDR48	WDR48
maker-scaffold-Z-augustus-gene-11.13_crovir-transcript-1745	maker-scaffold-Z-augustus-gene-11.13	crovir-transcript-1745	WDR48	WDR48.1
augustus_masked-scaffold-Z-processed-gene-12.0_crovir-transcript-1747	augustus_masked-scaffold-Z-processed-gene-12.0	crovir-transcript-1747	SCN5A	SCN5A
augustus_masked-scaffold-Z-processed-gene-12.2_crovir-transcript-1748	augustus_masked-scaffold-Z-processed-gene-12.2	crovir-transcript-1748	SCN5A	SCN5A.1
augustus_masked-scaffold-Z-processed-gene-12.3_crovir-transcript-1750	augustus_masked-scaffold-Z-processed-gene-12.3	crovir-transcript-1750	SCN5A	SCN5A.2
augustus_masked-scaffold-Z-processed-gene-12.4_crovir-transcript-1746	augustus_masked-scaffold-Z-processed-gene-12.4	crovir-transcript-1746	SCN5A	SCN5A.3
augustus_masked-scaffold-Z-processed-gene-12.5_crovir-transcript-1749	augustus_masked-scaffold-Z-processed-gene-12.5	crovir-transcript-1749	SCN5A	SCN5A.4
maker-scaffold-Z-augustus-gene-13.5_crovir-transcript-1752	maker-scaffold-Z-augustus-gene-13.5	crovir-transcript-1752	SCN5A	SCN5A.5
maker-scaffold-Z-augustus-gene-13.6_crovir-transcript-1751	maker-scaffold-Z-augustus-gene-13.6	crovir-transcript-1751	SCN5A	SCN5A.6
maker-scaffold-Z-augustus-gene-14.3_crovir-transcript-1754	maker-scaffold-Z-augustus-gene-14.3	crovir-transcript-1754	EXOG	EXOG
maker-scaffold-Z-augustus-gene-14.4_crovir-transcript-1753	maker-scaffold-Z-augustus-gene-14.4	crovir-transcript-1753	ACVR2B	ACVR2B
maker-scaffold-Z-augustus-gene-15.7_crovir-transcript-1758	maker-scaffold-Z-augustus-gene-15.7	crovir-transcript-1758	XYLB	XYLB
maker-scaffold-Z-augustus-gene-15.8_crovir-transcript-1756	maker-scaffold-Z-augustus-gene-15.8	crovir-transcript-1756	PPP1R37	PPP1R37
maker-scaffold-Z-augustus-gene-15.10_crovir-transcript-1759	maker-scaffold-Z-augustus-gene-15.10	crovir-transcript-1759	DMWD	DMWD
maker-scaffold-Z-augustus-gene-15.6_crovir-transcript-1755	maker-scaffold-Z-augustus-gene-15.6	crovir-transcript-1755	NUB1	NUB1
maker-scaffold-Z-augustus-gene-15.11_crovir-transcript-1757	maker-scaffold-Z-augustus-gene-15.11	crovir-transcript-1757	WDR86	WDR86
maker-scaffold-Z-augustus-gene-16.5_crovir-transcript-1761	maker-scaffold-Z-augustus-gene-16.5	crovir-transcript-1761	RHEB	RHEB
maker-scaffold-Z-augustus-gene-16.6_crovir-transcript-1762	maker-scaffold-Z-augustus-gene-16.6	crovir-transcript-1762	PRKAG2	PRKAG2
maker-scaffold-Z-augustus-gene-16.4_crovir-transcript-1760	maker-scaffold-Z-augustus-gene-16.4	crovir-transcript-1760	GALNT11	GALNT11
maker-scaffold-Z-augustus-gene-17.11_crovir-transcript-1766	maker-scaffold-Z-augustus-gene-17.11	crovir-transcript-1766	KMT2C	KMT2C
maker-scaffold-Z-augustus-gene-17.12_crovir-transcript-1770	maker-scaffold-Z-augustus-gene-17.12	crovir-transcript-1770	KMT2C	KMT2C.1
maker-scaffold-Z-augustus-gene-17.13_crovir-transcript-1767	maker-scaffold-Z-augustus-gene-17.13	crovir-transcript-1767	KMT2C	KMT2C.2
trnascan-scaffold-Z-noncoding-Pseudo_AAC-gene-17.0	trnascan-scaffold-Z-noncoding-Pseudo_AAC-gene-17.0	NA	trnascan-scaffold-Z-noncoding-Pseudo_AAC-gene-17.0	trnascan-scaffold-Z-noncoding-Pseudo_AAC-gene-17.0
maker-scaffold-Z-augustus-gene-17.14_crovir-transcript-1769	maker-scaffold-Z-augustus-gene-17.14	crovir-transcript-1769	maker-scaffold-Z-augustus-gene-17.14_crovir-transcript-1769	maker-scaffold-Z-augustus-gene-17.14_crovir-transcript-1769
maker-scaffold-Z-augustus-gene-17.15_crovir-transcript-1768	maker-scaffold-Z-augustus-gene-17.15	crovir-transcript-1768	XRCC2	XRCC2
maker-scaffold-Z-augustus-gene-17.16_crovir-transcript-1771	maker-scaffold-Z-augustus-gene-17.16	crovir-transcript-1771	maker-scaffold-Z-augustus-gene-17.16_crovir-transcript-1771	maker-scaffold-Z-augustus-gene-17.16_crovir-transcript-1771
maker-scaffold-Z-augustus-gene-17.8_crovir-transcript-1765	maker-scaffold-Z-augustus-gene-17.8	crovir-transcript-1765	PRSS55	PRSS55
maker-scaffold-Z-augustus-gene-17.9_crovir-transcript-1763	maker-scaffold-Z-augustus-gene-17.9	crovir-transcript-1763	ZMYND15	ZMYND15
augustus_masked-scaffold-Z-processed-gene-17.5_crovir-transcript-1764	augustus_masked-scaffold-Z-processed-gene-17.5	crovir-transcript-1764	ACTR3B	ACTR3B
maker-scaffold-Z-augustus-gene-18.3_crovir-transcript-1772	maker-scaffold-Z-augustus-gene-18.3	crovir-transcript-1772	maker-scaffold-Z-augustus-gene-18.3_crovir-transcript-1772	maker-scaffold-Z-augustus-gene-18.3_crovir-transcript-1772
trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-19.0	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-19.0	NA	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-19.0	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-19.0
augustus_masked-scaffold-Z-processed-gene-20.1_crovir-transcript-1773	augustus_masked-scaffold-Z-processed-gene-20.1	crovir-transcript-1773	DPP6	DPP6
maker-scaffold-Z-augustus-gene-20.4_crovir-transcript-1774	maker-scaffold-Z-augustus-gene-20.4	crovir-transcript-1774	PAXIP1	PAXIP1
augustus_masked-scaffold-Z-processed-gene-21.0_crovir-transcript-1777	augustus_masked-scaffold-Z-processed-gene-21.0	crovir-transcript-1777	HTR5A	HTR5A
maker-scaffold-Z-augustus-gene-21.4_crovir-transcript-1775	maker-scaffold-Z-augustus-gene-21.4	crovir-transcript-1775	INSIG1	INSIG1
augustus_masked-scaffold-Z-processed-gene-21.3_crovir-transcript-1776	augustus_masked-scaffold-Z-processed-gene-21.3	crovir-transcript-1776	EN2	EN2
maker-scaffold-Z-augustus-gene-22.6_crovir-transcript-1780	maker-scaffold-Z-augustus-gene-22.6	crovir-transcript-1780	CNPY2	CNPY2
maker-scaffold-Z-augustus-gene-22.5_crovir-transcript-1778	maker-scaffold-Z-augustus-gene-22.5	crovir-transcript-1778	RBM33	RBM33
augustus_masked-scaffold-Z-processed-gene-22.3_crovir-transcript-1779	augustus_masked-scaffold-Z-processed-gene-22.3	crovir-transcript-1779	CACNG4	CACNG4
maker-scaffold-Z-augustus-gene-23.2_crovir-transcript-1781	maker-scaffold-Z-augustus-gene-23.2	crovir-transcript-1781	SHH	SHH
augustus_masked-scaffold-Z-processed-gene-24.0_crovir-transcript-1782	augustus_masked-scaffold-Z-processed-gene-24.0	crovir-transcript-1782	TATDN2	TATDN2
maker-scaffold-Z-augustus-gene-24.5_crovir-transcript-1784	maker-scaffold-Z-augustus-gene-24.5	crovir-transcript-1784	RNF32	RNF32
maker-scaffold-Z-augustus-gene-24.7_crovir-transcript-1786	maker-scaffold-Z-augustus-gene-24.7	crovir-transcript-1786	LMBR1	LMBR1
maker-scaffold-Z-augustus-gene-24.6_crovir-transcript-1783	maker-scaffold-Z-augustus-gene-24.6	crovir-transcript-1783	NOM1	NOM1
maker-scaffold-Z-augustus-gene-24.8_crovir-transcript-1785	maker-scaffold-Z-augustus-gene-24.8	crovir-transcript-1785	MNX1	MNX1
maker-scaffold-Z-augustus-gene-25.3_crovir-transcript-1788	maker-scaffold-Z-augustus-gene-25.3	crovir-transcript-1788	UBE3C	UBE3C
maker-scaffold-Z-augustus-gene-25.4_crovir-transcript-1787	maker-scaffold-Z-augustus-gene-25.4	crovir-transcript-1787	DNAJB6	DNAJB6
maker-scaffold-Z-augustus-gene-26.2_crovir-transcript-1789	maker-scaffold-Z-augustus-gene-26.2	crovir-transcript-1789	PTPRN2	PTPRN2
maker-scaffold-Z-augustus-gene-27.2_crovir-transcript-1790	maker-scaffold-Z-augustus-gene-27.2	crovir-transcript-1790	PTPRN2	PTPRN2.1
augustus_masked-scaffold-Z-processed-gene-28.1_crovir-transcript-1793	augustus_masked-scaffold-Z-processed-gene-28.1	crovir-transcript-1793	NCAPG2	NCAPG2
maker-scaffold-Z-augustus-gene-28.5_crovir-transcript-1792	maker-scaffold-Z-augustus-gene-28.5	crovir-transcript-1792	XP_024302613	XP_024302613
maker-scaffold-Z-augustus-gene-28.3_crovir-transcript-1791	maker-scaffold-Z-augustus-gene-28.3	crovir-transcript-1791	WDR60	WDR60
maker-scaffold-Z-augustus-gene-29.1_crovir-transcript-1794	maker-scaffold-Z-augustus-gene-29.1	crovir-transcript-1794	VIPR2	VIPR2
augustus_masked-scaffold-Z-processed-gene-30.0_crovir-transcript-1796	augustus_masked-scaffold-Z-processed-gene-30.0	crovir-transcript-1796	ZMYND11	ZMYND11
augustus_masked-scaffold-Z-processed-gene-30.2_crovir-transcript-1795	augustus_masked-scaffold-Z-processed-gene-30.2	crovir-transcript-1795	DIP2C	DIP2C
maker-scaffold-Z-augustus-gene-31.5_crovir-transcript-1799	maker-scaffold-Z-augustus-gene-31.5	crovir-transcript-1799	LARP4B	LARP4B
maker-scaffold-Z-augustus-gene-31.4_crovir-transcript-1797	maker-scaffold-Z-augustus-gene-31.4	crovir-transcript-1797	GTPBP4	GTPBP4
maker-scaffold-Z-augustus-gene-31.6_crovir-transcript-1798	maker-scaffold-Z-augustus-gene-31.6	crovir-transcript-1798	IDI1	IDI1
augustus_masked-scaffold-Z-processed-gene-32.0_crovir-transcript-1800	augustus_masked-scaffold-Z-processed-gene-32.0	crovir-transcript-1800	WDR37	WDR37
augustus_masked-scaffold-Z-processed-gene-32.2_crovir-transcript-1802	augustus_masked-scaffold-Z-processed-gene-32.2	crovir-transcript-1802	ADARB2	ADARB2
augustus_masked-scaffold-Z-processed-gene-32.3_crovir-transcript-1801	augustus_masked-scaffold-Z-processed-gene-32.3	crovir-transcript-1801	ADARB2	ADARB2.1
trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-33.0	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-33.0	NA	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-33.0	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-33.0
augustus_masked-scaffold-Z-processed-gene-33.1_crovir-transcript-1803	augustus_masked-scaffold-Z-processed-gene-33.1	crovir-transcript-1803	MFSD3	MFSD3
trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-34.0	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-34.0	NA	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-34.0	trnascan-scaffold-Z-noncoding-Pseudo_AGA-gene-34.0
maker-scaffold-Z-augustus-gene-36.2_crovir-transcript-1804	maker-scaffold-Z-augustus-gene-36.2	crovir-transcript-1804	PFKP	PFKP
maker-scaffold-Z-augustus-gene-36.3_crovir-transcript-1805	maker-scaffold-Z-augustus-gene-36.3	crovir-transcript-1805	PITRM1	PITRM1
maker-scaffold-Z-augustus-gene-42.5_crovir-transcript-1808	maker-scaffold-Z-augustus-gene-42.5	crovir-transcript-1808	GJD4	GJD4
maker-scaffold-Z-augustus-gene-42.6_crovir-transcript-1807	maker-scaffold-Z-augustus-gene-42.6	crovir-transcript-1807	GJD4	GJD4.1
maker-scaffold-Z-augustus-gene-42.7_crovir-transcript-1806	maker-scaffold-Z-augustus-gene-42.7	crovir-transcript-1806	CCNY	CCNY
maker-scaffold-Z-augustus-gene-43.11_crovir-transcript-1813	maker-scaffold-Z-augustus-gene-43.11	crovir-transcript-1813	CREM	CREM
maker-scaffold-Z-augustus-gene-43.7_crovir-transcript-1812	maker-scaffold-Z-augustus-gene-43.7	crovir-transcript-1812	CUL2	CUL2
maker-scaffold-Z-augustus-gene-43.8_crovir-transcript-1811	maker-scaffold-Z-augustus-gene-43.8	crovir-transcript-1811	ANK3	ANK3
maker-scaffold-Z-augustus-gene-43.9_crovir-transcript-1810	maker-scaffold-Z-augustus-gene-43.9	crovir-transcript-1810	CUL2	CUL2.1
maker-scaffold-Z-augustus-gene-43.10_crovir-transcript-1809	maker-scaffold-Z-augustus-gene-43.10	crovir-transcript-1809	CUL2	CUL2.2
maker-scaffold-Z-augustus-gene-43.12_crovir-transcript-1814	maker-scaffold-Z-augustus-gene-43.12	crovir-transcript-1814	XP_016884318	XP_016884318
trnascan-scaffold-Z-noncoding-Thr_TGT-gene-43.0	trnascan-scaffold-Z-noncoding-Thr_TGT-gene-43.0	NA	trnascan-scaffold-Z-noncoding-Thr_TGT-gene-43.0	trnascan-scaffold-Z-noncoding-Thr_TGT-gene-43.0
maker-scaffold-Z-augustus-gene-45.2_crovir-transcript-1816	maker-scaffold-Z-augustus-gene-45.2	crovir-transcript-1816	PARD3	PARD3
maker-scaffold-Z-augustus-gene-45.3_crovir-transcript-1815	maker-scaffold-Z-augustus-gene-45.3	crovir-transcript-1815	PARD3	PARD3.1
maker-scaffold-Z-augustus-gene-45.4_crovir-transcript-1817	maker-scaffold-Z-augustus-gene-45.4	crovir-transcript-1817	PARD3	PARD3.2
maker-scaffold-Z-augustus-gene-45.5_crovir-transcript-1818	maker-scaffold-Z-augustus-gene-45.5	crovir-transcript-1818	PARD3	PARD3.3
maker-scaffold-Z-augustus-gene-48.4_crovir-transcript-1821	maker-scaffold-Z-augustus-gene-48.4	crovir-transcript-1821	NRP1	NRP1
maker-scaffold-Z-augustus-gene-48.5_crovir-transcript-1819	maker-scaffold-Z-augustus-gene-48.5	crovir-transcript-1819	NRP1	NRP1.1
maker-scaffold-Z-augustus-gene-48.6_crovir-transcript-1820	maker-scaffold-Z-augustus-gene-48.6	crovir-transcript-1820	ITGB1	ITGB1
augustus_masked-scaffold-Z-processed-gene-48.2_crovir-transcript-1822	augustus_masked-scaffold-Z-processed-gene-48.2	crovir-transcript-1822	augustus_masked-scaffold-Z-processed-gene-48.2_crovir-transcript-1822	augustus_masked-scaffold-Z-processed-gene-48.2_crovir-transcript-1822
maker-scaffold-Z-augustus-gene-49.7_crovir-transcript-1826	maker-scaffold-Z-augustus-gene-49.7	crovir-transcript-1826	maker-scaffold-Z-augustus-gene-49.7_crovir-transcript-1826	maker-scaffold-Z-augustus-gene-49.7_crovir-transcript-1826
maker-scaffold-Z-augustus-gene-49.8_crovir-transcript-1825	maker-scaffold-Z-augustus-gene-49.8	crovir-transcript-1825	CCDC7	CCDC7
augustus_masked-scaffold-Z-processed-gene-49.1_crovir-transcript-1824	augustus_masked-scaffold-Z-processed-gene-49.1	crovir-transcript-1824	EPC1	EPC1
maker-scaffold-Z-augustus-gene-49.6_crovir-transcript-1823	maker-scaffold-Z-augustus-gene-49.6	crovir-transcript-1823	KIF5B	KIF5B
maker-scaffold-Z-augustus-gene-50.2_crovir-transcript-1827	maker-scaffold-Z-augustus-gene-50.2	crovir-transcript-1827	ARHGAP12	ARHGAP12
maker-scaffold-Z-augustus-gene-50.3_crovir-transcript-1828	maker-scaffold-Z-augustus-gene-50.3	crovir-transcript-1828	ZEB1	ZEB1
augustus_masked-scaffold-Z-processed-gene-51.0_crovir-transcript-1829	augustus_masked-scaffold-Z-processed-gene-51.0	crovir-transcript-1829	SVIL	SVIL
maker-scaffold-Z-augustus-gene-52.1_crovir-transcript-1830	maker-scaffold-Z-augustus-gene-52.1	crovir-transcript-1830	JCAD	JCAD
maker-scaffold-Z-augustus-gene-53.4_crovir-transcript-1832	maker-scaffold-Z-augustus-gene-53.4	crovir-transcript-1832	MTPAP	MTPAP
maker-scaffold-Z-augustus-gene-53.3_crovir-transcript-1831	maker-scaffold-Z-augustus-gene-53.3	crovir-transcript-1831	MAP3K8	MAP3K8
maker-scaffold-Z-augustus-gene-54.4_crovir-transcript-1833	maker-scaffold-Z-augustus-gene-54.4	crovir-transcript-1833	BAMBI	BAMBI
